Day,TM,PV,SP,OP,PB,IT,DT,Hyst,Bias
8/11/2010,11:50:43 AM,50.1,50,58,30,20,0,0,0
8/11/2010,11:50:44 AM,50.1,50,57,30,20,0,0,0
8/11/2010,11:50:45 AM,49.9,50,57,30,20,0,0,0
8/11/2010,11:50:46 AM,49.9,50,57,30,20,0,0,0
8/11/2010,11:50:47 AM,50.2,50,58,30,20,0,0,0
8/11/2010,11:50:48 AM,50,50,57,30,20,0,0,0
8/11/2010,11:50:49 AM,50,50,57,30,20,0,0,0
8/11/2010,11:50:50 AM,50,50,57,30,20,0,0,0
8/11/2010,11:50:51 AM,50.1,50,58,30,20,0,0,0
8/11/2010,11:50:52 AM,50,50,57,30,20,0,0,0
8/11/2010,11:50:53 AM,50.1,50,58,30,20,0,0,0
8/11/2010,11:50:54 AM,50.2,50,58,30,20,0,0,0
8/11/2010,11:50:55 AM,50.2,50,58,30,20,0,0,0
8/11/2010,11:50:56 AM,50.2,50,58,30,20,0,0,0
8/11/2010,11:50:57 AM,50,50,57,30,20,0,0,0
8/11/2010,11:50:58 AM,49.9,50,57,30,20,0,0,0
8/11/2010,11:50:59 AM,49.9,50,57,30,20,0,0,0
8/11/2010,11:51:00 AM,50.1,50,58,30,20,0,0,0
8/11/2010,11:51:01 AM,50.1,50,58,30,20,0,0,0
8/11/2010,11:51:02 AM,50,50,57,30,20,0,0,0
8/11/2010,11:51:03 AM,49.7,60,56,30,20,0,0,0
8/11/2010,11:51:04 AM,49.8,60,22,30,20,0,0,0
8/11/2010,11:51:05 AM,55,60,38,30,20,0,0,0
8/11/2010,11:51:06 AM,62.5,60,63,30,20,0,0,0
8/11/2010,11:51:07 AM,58,60,48,30,20,0,0,0
8/11/2010,11:51:08 AM,53.1,60,31,30,20,0,0,0
8/11/2010,11:51:09 AM,57.4,60,44,30,20,0,0,0
8/11/2010,11:51:10 AM,61.8,60,59,30,20,0,0,0
8/11/2010,11:51:11 AM,58.8,60,50,30,20,0,0,0
8/11/2010,11:51:12 AM,55.5,60,38,30,20,0,0,0
8/11/2010,11:51:13 AM,57.9,60,45,30,20,0,0,0
8/11/2010,11:51:14 AM,60.8,60,55,30,20,0,0,0
