Day,TM,PV,SP,OP,PB,IT,DT,Hyst,Bias
8/11/2010,11:36:20 AM,49.8,50,52,30,10,0,0,0
8/11/2010,11:36:21 AM,49.7,50,52,30,10,0,0,0
8/11/2010,11:36:22 AM,49.8,50,52,30,10,0,0,0
8/11/2010,11:36:23 AM,49.8,50,52,30,10,0,0,0
8/11/2010,11:36:24 AM,49.9,50,52,30,10,0,0,0
8/11/2010,11:36:25 AM,50.1,50,53,30,10,0,0,0
8/11/2010,11:36:26 AM,50.2,50,53,30,10,0,0,0
8/11/2010,11:36:27 AM,50.1,50,53,30,10,0,0,0
8/11/2010,11:36:28 AM,50.3,50,54,30,10,0,0,0
8/11/2010,11:36:29 AM,50,50,53,30,10,0,0,0
8/11/2010,11:36:30 AM,49.9,50,52,30,10,0,0,0
8/11/2010,11:36:31 AM,49.7,50,51,30,10,0,0,0
8/11/2010,11:36:32 AM,49.8,50,52,30,10,0,0,0
8/11/2010,11:36:33 AM,49.9,50,52,30,10,0,0,0
8/11/2010,11:36:34 AM,49.9,50,52,30,10,0,0,0
8/11/2010,11:36:35 AM,50.1,50,52,30,10,0,0,0
8/11/2010,11:36:36 AM,50.3,50,52,30,10,0,0,0
8/11/2010,11:36:37 AM,50.4,50,52,30,10,0,0,0
8/11/2010,11:36:38 AM,50.7,60,52,30,10,0,0,0
8/11/2010,11:36:39 AM,50.7,60,52,30,10,0,0,0
8/11/2010,11:36:40 AM,50.4,60,49,30,10,0,0,0
8/11/2010,11:36:41 AM,50.8,60,47,30,10,0,0,0
8/11/2010,11:36:42 AM,52,60,48,30,10,0,0,0
8/11/2010,11:36:43 AM,53.2,60,50,30,10,0,0,0
8/11/2010,11:36:44 AM,53.9,60,50,30,10,0,0,0
8/11/2010,11:36:45 AM,54.2,60,50,30,10,0,0,0
8/11/2010,11:36:46 AM,54.3,60,48,30,10,0,0,0
8/11/2010,11:36:47 AM,54.6,60,47,30,10,0,0,0
8/11/2010,11:36:48 AM,54.6,60,45,30,10,0,0,0
8/11/2010,11:36:49 AM,55.4,60,46,30,10,0,0,0
8/11/2010,11:36:50 AM,55.7,60,46,30,10,0,0,0
8/11/2010,11:36:51 AM,55.9,60,45,30,10,0,0,0
8/11/2010,11:36:52 AM,56.1,60,44,30,10,0,0,0
8/11/2010,11:36:53 AM,56.4,60,44,30,10,0,0,0
8/11/2010,11:36:54 AM,56.7,60,44,30,10,0,0,0
8/11/2010,11:36:55 AM,57.1,60,44,30,10,0,0,0
8/11/2010,11:36:56 AM,57.3,60,44,30,10,0,0,0
8/11/2010,11:36:57 AM,57.3,60,43,30,10,0,0,0
8/11/2010,11:36:58 AM,57.3,60,42,30,10,0,0,0
8/11/2010,11:36:59 AM,58,60,44,30,10,0,0,0
8/11/2010,11:37:00 AM,58.3,60,44,30,10,0,0,0
8/11/2010,11:37:01 AM,58.7,60,45,30,10,0,0,0
8/11/2010,11:37:02 AM,58.6,60,44,30,10,0,0,0
8/11/2010,11:37:03 AM,58.9,60,45,30,10,0,0,0
8/11/2010,11:37:04 AM,59,60,45,30,10,0,0,0
8/11/2010,11:37:05 AM,59,60,45,30,10,0,0,0
8/11/2010,11:37:06 AM,59,60,44,30,10,0,0,0
8/11/2010,11:37:07 AM,58.9,60,44,30,10,0,0,0
8/11/2010,11:37:08 AM,58.8,60,43,30,10,0,0,0
8/11/2010,11:37:09 AM,59.1,60,43,30,10,0,0,0
8/11/2010,11:37:10 AM,59.2,60,43,30,10,0,0,0
8/11/2010,11:37:11 AM,59.1,60,43,30,10,0,0,0
8/11/2010,11:37:12 AM,59.1,60,43,30,10,0,0,0
8/11/2010,11:37:13 AM,59,60,42,30,10,0,0,0
8/11/2010,11:37:14 AM,58.8,60,41,30,10,0,0,0
8/11/2010,11:37:15 AM,59.1,60,42,30,10,0,0,0
8/11/2010,11:37:16 AM,59.8,60,44,30,10,0,0,0
8/11/2010,11:37:17 AM,60.4,60,46,30,10,0,0,0
8/11/2010,11:37:18 AM,60.9,60,48,30,10,0,0,0
8/11/2010,11:37:19 AM,61,60,48,30,10,0,0,0
8/11/2010,11:37:20 AM,60.6,60,47,30,10,0,0,0
8/11/2010,11:37:21 AM,60.2,60,46,30,10,0,0,0
8/11/2010,11:37:22 AM,60,60,46,30,10,0,0,0
8/11/2010,11:37:23 AM,59.8,60,45,30,10,0,0,0
8/11/2010,11:37:24 AM,59.5,60,44,30,10,0,0,0
8/11/2010,11:37:25 AM,59.6,60,44,30,10,0,0,0
8/11/2010,11:37:26 AM,59.5,60,43,30,10,0,0,0
8/11/2010,11:37:27 AM,59.6,60,43,30,10,0,0,0
8/11/2010,11:37:28 AM,59.7,60,44,30,10,0,0,0
8/11/2010,11:37:29 AM,60.2,60,45,30,10,0,0,0
8/11/2010,11:37:30 AM,59.9,60,44,30,10,0,0,0
8/11/2010,11:37:31 AM,59.9,60,44,30,10,0,0,0
8/11/2010,11:37:32 AM,59.8,60,44,30,10,0,0,0
8/11/2010,11:37:33 AM,59.8,60,44,30,10,0,0,0
