Day,TM,PV,SP,OP,PB,IT,DT,Hyst,Bias
8/11/2010,11:59:20 AM,50.2,50,54,30,30,0,0,0
8/11/2010,11:59:21 AM,50.2,50,54,30,30,0,0,0
8/11/2010,11:59:22 AM,50.1,50,54,30,30,0,0,0
8/11/2010,11:59:23 AM,49.8,50,53,30,30,0,0,0
8/11/2010,11:59:24 AM,49.8,50,53,30,30,0,0,0
8/11/2010,11:59:25 AM,49.7,50,53,30,30,0,0,0
8/11/2010,11:59:26 AM,49.7,50,53,30,30,0,0,0
8/11/2010,11:59:27 AM,49.8,50,53,30,30,0,0,0
8/11/2010,11:59:28 AM,49.7,50,53,30,30,0,0,0
8/11/2010,11:59:29 AM,49.9,50,53,30,30,0,0,0
8/11/2010,11:59:30 AM,49.8,50,53,30,30,0,0,0
8/11/2010,11:59:31 AM,49.7,50,53,30,30,0,0,0
8/11/2010,11:59:32 AM,49.7,50,52,30,30,0,0,0
8/11/2010,11:59:33 AM,49.6,50,52,30,30,0,0,0
8/11/2010,11:59:34 AM,49.6,60,18,30,30,0,0,0
8/11/2010,11:59:35 AM,53.8,60,31,30,30,0,0,0
8/11/2010,11:59:36 AM,62.4,60,60,30,30,0,0,0
8/11/2010,11:59:37 AM,61.3,60,57,30,30,0,0,0
8/11/2010,11:59:38 AM,54.1,60,32,30,30,0,0,0
8/11/2010,11:59:39 AM,55.4,60,36,30,30,0,0,0
8/11/2010,11:59:40 AM,61.2,60,55,30,30,0,0,0
8/11/2010,11:59:41 AM,61.5,60,56,30,30,0,0,0
8/11/2010,11:59:42 AM,56.8,60,40,30,30,0,0,0
8/11/2010,11:59:43 AM,56.7,60,40,30,30,0,0,0
8/11/2010,11:59:44 AM,60.4,60,52,30,30,0,0,0
8/11/2010,11:59:45 AM,61,60,54,30,30,0,0,0
8/11/2010,11:59:46 AM,58.4,60,46,30,30,0,0,0
8/11/2010,11:59:47 AM,57.1,60,41,30,30,0,0,0
8/11/2010,11:59:48 AM,59,60,47,30,30,0,0,0
8/11/2010,11:59:49 AM,60.7,60,52,30,30,0,0,0
8/11/2010,11:59:50 AM,59.8,60,50,30,30,0,0,0
